BFY,FTYP,FUNDTYPE,DEPARTMENT,RSRC,REVSOURCE,BUDCURR,REVBFY
2023,GNFD,General Fund,Park & Recreation,7230,Recreation Large Room Fee,185529,55314.6
2023,GNFD,General Fund,City Attorney,7400,Chgs Serv-City Attor-D/Fw Airp,466739,264192.12
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7512,Specialprovisionsigndistrictfe,12750,4810
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,8116,Amortized Discount/Premium Int,0,52425.89
2023,GNFD,General Fund,Office of Budget,R114,Gain/Loss Sale Of Investment,0,-511988.33
2023,GNFD,General Fund,City Secretary,8428,Misc-Misc Revenue,12000,9900
2022,INSV,Internal Service Fund,Communication & Info Svcs,9415,Data Services Revenue,77715774,86456234.32
2022,GNFD,General Fund,Code Compliance,7494,Swimming Pool Mgr. Fee Resident,20461,7625
2023,GNFD,General Fund,Park & Recreation,7551,Pro Shop Utility Revenue,104322,61222.35
2022,GNFD,General Fund,Public Works & Transporation,7580,Application Review Fees,210168,188150
2022,EFOP,Enterprise Operating Fund,Convention And Event Services,8415,Misc-Sale of Fixed Assets,0,-1831494.5
2022,GNFD,General Fund,Office Of Cultural Affairs,7437,Facility Maintenance Charge-Tenants,100157,87844.5
2023,GNFD,General Fund,Office Of Cultural Affairs,7813,Chgs Serv-Service Charges,317737,183078.85
2022,GNFD,General Fund,Water Utilities,8451,Misc-Laterals-Sewer Permits,0,275
2022,OTHO,Other Operating Fund,Communication & Info Svcs,8428,Misc-Misc Revenue,0,0
2023,GNFD,General Fund,Park & Recreation,9417,Intrd Rev-GO Bond Reimbursement,0,2422.42
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,705A,Duplicate Certificate of Occupancy,100,0
2022,GNFD,General Fund,Public Works & Transporation,9303,Copy Service Sales Non Taxable,15000,0
2022,EFOP,Enterprise Operating Fund,Aviation,7456,Misc for Services,53026,341
2022,EFOP,Enterprise Operating Fund,Sanitation Svcs,742A,Chgs Serv-Container Service,1050129,0
2023,EFOP,Enterprise Operating Fund,Water Utilities,8437,Misc-Gain On Sle Of Fxd Asset,0,9900
2022,GNFD,General Fund,Dallas Police Dept,8003,Impoundment  Fee Dpd Auto Pnd,464765,491899.35
2022,GNFD,General Fund,Management Services,704S,Bldg Permit Single Family,5500,0
2022,GNFD,General Fund,Office of Budget,6008,Prop.Taxs-Refunds-Property Tx,21515,109066
2023,GNFD,General Fund,Transportation,7518,Petition No Parking,1500,0
2022,GNFD,General Fund,Public Works & Transporation,7277,Chg Serv-Interest On Del Accts,37890,137304.26
2022,GNFD,General Fund,Transportation,6380,Application & Signs Fee Cwrp,1000,0
2023,GNFD,General Fund,Public Works & Transporation,7047,Miscellaneous Bldg Insp,1515000,1986349.01
2023,GNFD,General Fund,Office of Budget,8104,Accrued Interest On Poold Inv,0,-597450.24
2022,GNFD,General Fund,Dallas Fire Department,8424,Misc-Taxable Sales,0,260
2023,EFOP,Enterprise Operating Fund,Aviation,7814,Rental On Airport Non Taxable,1045733,1536350.25
2022,EFOP,Enterprise Operating Fund,Water Utilities,8450,Misc-Taps-Water Permits,550000,641103.69
2022,GNFD,General Fund,Office of Budget,8214,Franchise Tax- Fiber Optics,10216254,11285843.05
2023,GNFD,General Fund,Office of Budget,8048,Habitual Criminal Property - Non-Residential Property,84505,0
2023,GNFD,General Fund,Code Compliance,637A,Group Housing Permit,67000,58257.15
2022,EFOP,Enterprise Operating Fund,Sanitation Svcs,7427,Sanit Col-Cost Plus-Taxable,188691,0
2022,GNFD,General Fund,Library,7543,Sales Non Taxable,400,0
2022,GNFD,General Fund,Court & Detention Services,8045,Fines/For-Civil Fines,958112,1224936.33
2022,GNFD,General Fund,Dallas Police Dept,8116,Amortized Discount/Premium Int,0,22.92
2023,GNFD,General Fund,Transportation,6380,Application & Signs Fee Cwrp,1000,1118
2022,EFOP,Enterprise Operating Fund,Convention And Event Services,8471,Misc-Rental Of Bldgs And Othr,41832,196953.6
2022,EFOP,Enterprise Operating Fund,Convention And Event Services,8116,Amortized Discount/Premium Int,0,71347.53
2023,GNFD,General Fund,Sustainable Development and Construction,8410,Misc-Rental Othr Properties,0,0
2022,GNFD,General Fund,Office of Budget,8205,Othr Sale-Fran Txs-Lone Str Ga,14536935,20080903.79
2022,GNFD,General Fund,Office of Budget,6519,Igovt Rev-Irving,1454106,2286813.09
2022,GNFD,General Fund,Court & Detention Services,8009,Fines/Fro-Munic Ct-Non-Traf,2241692,1725562.02
2022,INSV,Internal Service Fund,Communication & Info Svcs,8428,Misc-Misc Revenue,0,38979.06
2023,GNFD,General Fund,Office of Budget,9255,Intfd Rev-PBW Bond Pgm-Indir Cst R,395411,0
2022,EFOP,Enterprise Operating Fund,Water Utilities,7807,Chgs Serv-Print(Doc Frms)Ntxbl,20000,0
2023,EFOP,Enterprise Operating Fund,Convention And Event Services,R114,Gain/Loss Sale Of Investment,0,-98304.1
2023,GNFD,General Fund,Office of Budget,6301,Lics/Pmts-Beer Licenses,223255,48080
2023,EFOP,Enterprise Operating Fund,Stormwater Drainage Management,7940,Chgs Serv-Storm Water Fees,72407742,44067984.99
2022,EFOP,Enterprise Operating Fund,Office Of Cultural Affairs,7828,Chgs Serv-Fm National Sales,36000,54892
2022,EFOP,Enterprise Operating Fund,Water Utilities,8458,Misc-Water Special Assessments,63297,0
2023,EFOP,Enterprise Operating Fund,Convention And Event Services,7816,Facil & Equip Rental Non Taxab,10086614,3742070
2022,INSV,Internal Service Fund,Equipment & Fleet Management,9401,Intfd Rev-Fuel,24427700,23373821.94
2023,GNFD,General Fund,Office of Budget,6003,Dealer Motor Vehicle Inventory Tax,237981,691099.5
2022,EFOP,Enterprise Operating Fund,Sanitation Svcs,7484,Load Pulls At City Landfill,55363,0
2023,EFOP,Enterprise Operating Fund,Aviation,7813,Chgs Serv-Service Charges,225058,114092.6
2022,GNFD,General Fund,Office of Budget,6001,Prop.Taxs-Real Est-Current,869152044,869728167.42
2022,GNFD,General Fund,City Attorney,7289,Other Collectible Cost Recopument,8500,2850
2023,INSV,Internal Service Fund,Purchasing/Bus. Diversity Dev,7407,Chgs Serv-Supply Sales,73050,38089.59
2023,EFOP,Enterprise Operating Fund,Water Utilities,8432,Misc-Sale Cty Surp Prp/Non Tx,20000,0
2022,OTHO,Other Operating Fund,Risk Management,8104,Accrued Interest On Poold Inv,0,0
2023,GNFD,General Fund,Dallas Fire Department,7413,Chgs Serv-Emergency Ambulance,33493819,14520498.61
2022,GNFD,General Fund,Park & Recreation,7264,Chgs Serv-Portable Fd&Drnk Con,29189,0
2023,GNFD,General Fund,Equip & Bldg Svcs,7891,Parking Police Taxable,0,12256
2022,EFOP,Enterprise Operating Fund,Water Utilities,7858,Chgs Serv-Misc Wtr Oper Rev,20000,0
2022,GNFD,General Fund,Management Services,704U,Unauthorized Cover Up Fee,24600,0
2022,GNFD,General Fund,Park & Recreation,7202,Chgs Serv-Team Registration,29811,28249.98
2023,GNFD,General Fund,Purchasing/Bus. Diversity Dev,7894,Rebates revenues,110000,110360.98
2023,DSGO,General Obligation Debt Service,Office of Budget,6007,Prop.Taxs-Penalty & Interest,2139864,1469810.03
2022,GNFD,General Fund,Transportation,7518,Petition No Parking,1500,0
2023,INSV,Internal Service Fund,Equip & Bldg Svcs,8437,Misc-Gain On Sle Of Fxd Asset,0,59992
2022,GNFD,General Fund,Office of Budget,8223,"Grande Comm. Networks, Inc. Cable Franchise Fees",3600,2496.32
2022,GNFD,General Fund,Park & Recreation,8481,Misc-Percent Mdse Sales Pk Prp,207052,0
2022,GNFD,General Fund,Dallas Police Dept,7547,State Fair Patrol Revenues,1611686,1926071.21
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,704C,Bldg Permit Commercial,1909931,2561535.84
2022,GNFD,General Fund,Park & Recreation,7242,Chgs Serv-Private Golf Car Fee,0,1049.27
2023,INSV,Internal Service Fund,Equipment & Fleet Management,8428,Misc-Misc Revenue,25000,2562.75
2022,EFOP,Enterprise Operating Fund,Water Utilities,8100,Interest On Pooled Invest-Cash,2540000,1366938.56
2022,GNFD,General Fund,Court & Detention Services,8018,Teen Court Administrative Fee,20,0
2022,EFOP,Enterprise Operating Fund,Sanitation Svcs,7430,Private Disposal- Non-Taxable,31451459,0
2023,GNFD,General Fund,Mayor & Council,8411,Misc-Gifts & Donations,0,350
2022,GNFD,General Fund,Office Of Cultural Affairs,7289,Other Collectible Cost Recopument,155690,106239.5
2023,EFOP,Enterprise Operating Fund,Convention And Event Services,9499,Disc For Prompt Payment,0,-178187.75
2022,EFOP,Enterprise Operating Fund,Aviation,8100,Interest On Pooled Invest-Cash,0,293141.19
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,787W,Water Service Availa Nontaxabl,63116,89600
2023,GNFD,General Fund,Management Services,7505,Chgs Serv-Refunds-Chgs For Ser,0,-46
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,704J,Expedited Plan Review Per Trade,151766,68000
2022,EFOP,Enterprise Operating Fund,Water Utilities,8514,Damage To City Property Non Tx,0,90.3
2022,GNFD,General Fund,Office of Budget,7505,Chgs Serv-Refunds-Chgs For Ser,0,0.03
2022,INSV,Internal Service Fund,Park & Recreation,9417,Intrd Rev-GO Bond Reimbursement,4590339,3350447.77
2022,DSGO,General Obligation Debt Service,Office of Budget,8125,Interest On Pooled Invest-Coup,200000,0
2022,GNFD,General Fund,Office of Budget,7550,Service Charge Nsf Checks,60,150
2022,EFOP,Enterprise Operating Fund,Water Utilities,8432,Misc-Sale Cty Surp Prp/Non Tx,20000,10200
2022,GNFD,General Fund,Code Compliance,742H,Chgs Serv-Heavy Clean-Paid Liens,293801,398756.21
2022,EFOP,Enterprise Operating Fund,Office Of Cultural Affairs,8100,Interest On Pooled Invest-Cash,15000,1186.54
2023,GNFD,General Fund,Library,9304,Chgs Serv-Copy Sale-Taxable,4000,4.8
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,8100,Interest On Pooled Invest-Cash,0,304505.49
2022,GNFD,General Fund,Park & Recreation,8471,Misc-Rental Of Bldgs And Othr,21371,39084.51
2022,GNFD,General Fund,Dallas Fire Department,7805,Chgs Serv-Motor Vehicle Accident Cleanup Fee,4579,0
2022,EFOP,Enterprise Operating Fund,Sanitation Svcs,8100,Interest On Pooled Invest-Cash,200000,0
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,9303,Copy Service Sales Non Taxable,604,162.7
2023,EFOP,Enterprise Operating Fund,Convention And Event Services,9502,Hotel Occup Tax-Penalty,0,59763.14
2022,GNFD,General Fund,Office of Budget,9201,Intfd Rev-Tran Fr Othr Fds-Rev,18741962,18741962
2023,INSV,Internal Service Fund,Public Works & Transporation,9419,Intrd Rev-SDM Reimb for Non-Bond Projects,474456,56839.09
2023,GNFD,General Fund,Park & Recreation,7227,Receration Center Id 2-17,29350,556.39
2022,INSV,Internal Service Fund,Equipment & Fleet Management,9416,Intrd Rev-Motor Pool,255739,0
2023,EFOP,Enterprise Operating Fund,Water Utilities,7847,Chgs Serv-Raw Wat-Tot Rev Reta,450000,522838.49
2022,EFOP,Enterprise Operating Fund,Water Utilities,7873,Chgs Serv-Late Paymt Pen-Ww,2650000,2534273.19
2023,INSV,Internal Service Fund,Equipment & Fleet Management,8104,Accrued Interest On Poold Inv,0,0
2023,GNFD,General Fund,Office of Budget,7558,Multitenant Registration Fee,0,3195.41
2023,GNFD,General Fund,Office of Budget,7419,Chgs Serv-Vital Statistics,0,25696
2022,GNFD,General Fund,Office of Budget,9212,Intfd Rev-Munic Radio Indirect,48230,10360
2023,GNFD,General Fund,Park & Recreation,7212,Chgs Serv-Contract Classes,1744562,470652.23
2023,EFOP,Enterprise Operating Fund,Water Utilities,7873,Chgs Serv-Late Paymt Pen-Ww,2700000,1183671.69
2023,EFOP,Enterprise Operating Fund,Office Of Cultural Affairs,7826,Chgs Serv-Fm Local Sales,505521,262075.14
2023,GNFD,General Fund,Office of Budget,7277,Chg Serv-Interest On Del Accts,0,33824.06
2023,GNFD,General Fund,Library,8004,Fines/For-Library,14800,7210.87
2023,GNFD,General Fund,Court & Detention Services,6308,Child Safety-Vehicle Registration Other,108862,13910.17
2023,EFOP,Enterprise Operating Fund,Aviation,7703,Badging Fees,240000,354585
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7040,Certificate Of Occupancy,1039957,583304
2023,EFOP,Enterprise Operating Fund,Convention And Event Services,8100,Interest On Pooled Invest-Cash,0,489817.68
2022,GNFD,General Fund,Public Works & Transporation,7514,Air Pollution Emmission Fee,0,109025
2023,EFOP,Enterprise Operating Fund,Water Utilities,7550,Service Charge Nsf Checks,150000,123105.98
2023,GNFD,General Fund,Dallas Fire Department,7277,Chg Serv-Interest On Del Accts,103875,48847.68
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,8428,Misc-Misc Revenue,124050,55060.07
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7042,Electrical License/Exam,44297,1000
2023,GNFD,General Fund,Court & Detention Services,8011,Fines/For-Munic Ct Driv Impsch,70000,31136.03
2023,GNFD,General Fund,Office of Budget,8443,Misc-Auto Auction-Txble Sales,217497,368369.25
2023,GNFD,General Fund,Park & Recreation,7283,Staff Taught Rec Class,1580049,6337.6
2023,GNFD,General Fund,Public Works & Transporation,7580,Application Review Fees,336814,110610
2023,GNFD,General Fund,Library,7544,Cd Rom Copy Sales,130000,192.42
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,704S,Bldg Permit Single Family,2547560,1231099.75
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7516,Misc Docket Items Fee,71185,22268.9
2023,EFOP,Enterprise Operating Fund,Aviation,7821,Cable Television Installation,195000,83912.57
2022,GNFD,General Fund,Public Works & Transporation,7550,Service Charge Nsf Checks,0,30
2022,EFOP,Enterprise Operating Fund,Water Utilities,7491,Chgs Serv-Return Items Clrning,0,-25
2023,GNFD,General Fund,Code Compliance,6329,Lics/Pmts-Motor Vehicle Repair,105862,47202
2023,GNFD,General Fund,Office of Budget,8207,Othr Sale-Fran Txes-Cable Tv,6129659,1420978.76
2022,EFOP,Enterprise Operating Fund,Convention And Event Services,7838,Convention Ctr Parking Non-Tax,1534771,1714623.31
2022,EFOP,Enterprise Operating Fund,Aviation,7706,GA Landing Fee,4061881,6090960.43
2023,GNFD,General Fund,Office Of Cultural Affairs,7467,Security Chrgs-Non-Taxable,90612,93624
2022,GNFD,General Fund,Office of Budget,7515,Multi-Tenant Re-Inspection Fee,0,818.13
2023,GNFD,General Fund,Dallas Police Dept,7456,Misc for Services,49897,68721.17
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7527,Mobile Unit & Kiosk/Coffee Cart Plan Review Fee,67000,31600
2022,EFOP,Enterprise Operating Fund,Water Utilities,8420,Misc-Handling Charges,0,-5825
2022,GNFD,General Fund,Park & Recreation,7217,Chgs Serv-Swimming Lessons,246317,212832
2023,EFOP,Enterprise Operating Fund,Aviation,7717,Concession Revenues: NTTA,9800004,10388989.25
2023,GNFD,General Fund,Library,7540,Meeting Room Charges,24000,10520
2023,DSGO,General Obligation Debt Service,Office of Budget,6002,Prop.Taxs-Rl Est-Pr Rolls,879208,221938.2
2023,GNFD,General Fund,Code Compliance,7468,Food Permit Application Fee,237533,53581
2023,GNFD,General Fund,Management Services,7419,Chgs Serv-Vital Statistics,1300000,1010125
2023,EFOP,Enterprise Operating Fund,Aviation,7715,Concession Revenue: Garage Parking,10400000,8782097.04
2022,GNFD,General Fund,Transportation,7521,Thoroughfare Admendment Fee,29625,60784.38
2023,EFOP,Enterprise Operating Fund,Convention And Event Services,7436,Amtract Rental,21616,12609.52
2023,GNFD,General Fund,Court & Detention Services,8045,Fines/For-Civil Fines,1550000,605196.62
2023,GNFD,General Fund,Dallas Police Dept,6526,Igovt Rev-Misc Reimbursements,900000,224
2022,GNFD,General Fund,Office of Budget,9255,Intfd Rev-PBW Bond Pgm-Indir Cst R,395411,377234
2022,GNFD,General Fund,Office of Budget,9239,Employee Health Benfit Indir,442447,442447
2023,GNFD,General Fund,Transportation,8043,NON-taxable Parking Meter Fees,2920300,1504146.31
2023,GNFD,General Fund,Office Of Cultural Affairs,7845,Parking-tax exempt/non taxable,8400,4368
2022,GNFD,General Fund,Office of Budget,9241,Indirect Cost -9-1-1,263928,263928
2022,GNFD,General Fund,Code Compliance,7490,Annual Food Inspection Permit Fee,2835779,2522298.18
2023,GNFD,General Fund,Public Works & Transporation,6499,Igovt Rev-Reimb Fr Dallas Cont,0,0
2022,GNFD,General Fund,Office of Budget,8213,Commercial Container Fee -Fran,3648943,5654096.64
2023,GNFD,General Fund,Park & Recreation,7244,Chgs Serv-Golf Punch Cards,31393,540.15
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,704Q,Remodel Residential,4608173,2499061.77
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,704B,Building Plan Review,2069276,1223022.14
2023,EFOP,Enterprise Operating Fund,Water Utilities,8416,Misc-Proceeds Fr Sale Of Land,2500,57358.8
2023,GNFD,General Fund,Court & Detention Services,6521,Igovt Rev-State Cost Coll Fees,520000,243821.85
2022,EFOP,Enterprise Operating Fund,Convention And Event Services,9500,Hotel Occup Tax,68321628,67190994.47
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7043,Special/Plat,1129274,1235701.88
2023,GNFD,General Fund,Library,8424,Misc-Taxable Sales,800,374.5
2022,GNFD,General Fund,Office of Budget,9225,Intfd Rev-Bldg Insp Indir Cst,1396180,1291078
2023,EFOP,Enterprise Operating Fund,Water Utilities,8104,Accrued Interest On Poold Inv,1160000,-887306.04
2022,GNFD,General Fund,Park & Recreation,7247,Chgs Serv-Golf Gren Fees Sr,421189,484249.36
2022,EFOP,Enterprise Operating Fund,Aviation,7705,Non-Signatory Airlines Landing Fee,488119,820501.42
2023,GNFD,General Fund,Public Works & Transporation,8428,Misc-Misc Revenue,1377,5060
2023,GNFD,General Fund,Park & Recreation,721D,Chgs Serv-Jr Admission Bahama Beach,66000,0
2022,GNFD,General Fund,Mayor & Council,7456,Misc for Services,0,5546.69
2022,OTHO,Other Operating Fund,Human Resources,8496,City Contribution To Health Fund,1936868,4059977.57
2023,GNFD,General Fund,Park & Recreation,7550,Service Charge Nsf Checks,0,25
2022,EFOP,Enterprise Operating Fund,Aviation,7808,Chgs Serv-Rental-Off Airport,767397,916817.92
2023,GNFD,General Fund,Office of Budget,6350,Lics/Pmts-Precious Met Ven Lic,6615,9555
2022,EFOP,Enterprise Operating Fund,Convention And Event Services,7550,Service Charge Nsf Checks,0,660
2023,GNFD,General Fund,Public Works & Transporation,7514,Air Pollution Emmission Fee,0,201047
2022,GNFD,General Fund,Park & Recreation,721A,Chgs Serv-Adult Admission Bahama Beach,400811,602821
2023,GNFD,General Fund,Court & Detention Services,6511,Igovt Rev-Dallas County,1373729,609628.86
2022,INSV,Internal Service Fund,Purchasing/Bus. Diversity Dev,7894,Rebates revenues,55000,32167.36
2023,GNFD,General Fund,Dallas Fire Department,8482,Misc-Land Lease,298916,153095.32
2023,GNFD,General Fund,Office of Budget,7211,Chgs Serv-City Wide Over/Short,0,-13
2022,EFOP,Enterprise Operating Fund,Water Utilities,704B,Building Plan Review,0,600
2023,GNFD,General Fund,Office of Budget,7356,Secured Closure Delinquent Col,0,3768.41
2022,EFOP,Enterprise Operating Fund,Aviation,8428,Misc-Misc Revenue,280000,2773603.92
2022,GNFD,General Fund,Office of Budget,6007,Prop.Taxs-Penalty & Interest,4982193,5905520.01
2022,GNFD,General Fund,Office of Budget,9253,Intfd Rev-Bond and Const Mgt-Indir Cst R,448076,448076
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7810,Chgs Serv-Print(Docu Frms)Sale,10,28.5
2023,GNFD,General Fund,Civil Service,7456,Misc for Services,0,1000
2023,GNFD,General Fund,Dallas Police Dept,8000,Fines/For-Notification Fee,601700,349200
2022,GNFD,General Fund,Office of Budget,9226,Intfd Rev-Storm Water Ind Cst,826547,826547
2023,GNFD,General Fund,Office of Budget,9224,Intfd Rev-Equip Svc Indir Cst,2082749,0
2022,GNFD,General Fund,Management Services,6511,Igovt Rev-Dallas County,1000000,1000000
2023,GNFD,General Fund,Library,7431,Chgs Serv-Lib Non-Res Fee Crds,75000,94275
2023,EFOP,Enterprise Operating Fund,Sanitation Svcs,7484,Load Pulls At City Landfill,47767,0
2022,EFOP,Enterprise Operating Fund,Aviation,7712,Concession Revenue: Advertising & Misc,1420380,1637808.66
2023,GNFD,General Fund,Management Services,7211,Chgs Serv-City Wide Over/Short,0,-204
2022,EFOP,Enterprise Operating Fund,Water Utilities,7868,Chgs Serv-Ww-Whsl Rev Surcharg,550000,309766.53
2023,GNFD,General Fund,Park & Recreation,7255,Sundown Golf Fees,244148,107939.87
2022,EFOP,Enterprise Operating Fund,Stormwater Drainage Management,8100,Interest On Pooled Invest-Cash,0,79154.17
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,704O,Plan Review-Sign Installation or Construction,45740,20475
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7044,Re-Inspection Fee,65521,67005
2023,EFOP,Enterprise Operating Fund,Stormwater Drainage Management,6352,TWM Fill Permits,26000,0
2022,GNFD,General Fund,Park & Recreation,7227,Receration Center Id 2-17,29350,898.6
2023,GNFD,General Fund,Equip & Bldg Svcs,7890,Parking Courts 2014 Main Taxab,0,637.44
2023,EFOP,Enterprise Operating Fund,Stormwater Drainage Management,8104,Accrued Interest On Poold Inv,0,-46738.96
2022,GNFD,General Fund,Office of Budget,9209,Intfd Rev-Avia Indir Cst Reimb,2138723,2138723
2023,EFOP,Enterprise Operating Fund,Sanitation Svcs,7430,Private Disposal- Non-Taxable,29632189,0
2023,GNFD,General Fund,Office of Budget,6001,Prop.Taxs-Real Est-Current,953483283,945910521.32
2022,EFOP,Enterprise Operating Fund,Water Utilities,7549,Chg Serv-Stormwtr Billing Fees,931431,931431
2022,GNFD,General Fund,Office of Budget,9231,Office Service Indirectcost,506432,506432
2022,GNFD,General Fund,Park & Recreation,7230,Recreation Large Room Fee,185529,102921.68
2022,GNFD,General Fund,Dallas Fire Department,8488,Miscellaneous Refunds,1000,20588.02
2023,GNFD,General Fund,Dallas Fire Department,788H,Fire Inspection-High-Rise Residential,26551,8111
2022,INSV,Internal Service Fund,Equipment & Fleet Management,8100,Interest On Pooled Invest-Cash,20000,3075.23
2023,GNFD,General Fund,City Attorney,8038,Civil Penalties,225000,127500
2023,GNFD,General Fund,Dallas Fire Department,7280,Fire Prevention Inspection,401154,179437
2022,GNFD,General Fund,Office of Budget,9240,Risk Management Indirect Cost,475970,475970
2022,GNFD,General Fund,Management Services,8476,Misc-Miscellaneous,0,5.6
2022,EFOP,Enterprise Operating Fund,Water Utilities,8801,Misc-Water Lot Or Acreage Fee,0,24321
2023,EFOP,Enterprise Operating Fund,Convention And Event Services,781A,Chgs Serv-Special Event Permit,85000,65545
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7527,Mobile Unit & Kiosk/Coffee Cart Plan Review Fee,84575,65000
2023,GNFD,General Fund,Housing/Community Services,8428,Misc-Misc Revenue,0,4361
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,704V,Zoning Research Only Fee,37,110
2023,EFOP,Enterprise Operating Fund,Water Utilities,7836,Chgs Serv-Tr Wat-Tot Rev Whsl,100494844,60293884.66
2022,INSV,Internal Service Fund,Equipment & Fleet Management,8116,Amortized Discount/Premium Int,0,431.93
2023,DSGO,General Obligation Debt Service,Office of Budget,9201,Intfd Rev-Tran Fr Othr Fds-Rev,16005958,0
2023,EFOP,Enterprise Operating Fund,Water Utilities,8015,Fines/For-Refnds-Fines & Forf,2500,0
2022,EFOP,Enterprise Operating Fund,Aviation,7812,Chgs Serv-Aviatin Fuel Flow Fe,75000,165238.57
2023,GNFD,General Fund,Court & Detention Services,8019,Expired Regstration/Inspection,20000,17079.67
2022,EFOP,Enterprise Operating Fund,Aviation,7711,Concession Revenue: Retail,3352595,4831371.85
2023,EFOP,Enterprise Operating Fund,Aviation,7809,Chgs Serv-Aviation Landing Fee,28238507,14458793.48
2023,EFOP,Enterprise Operating Fund,Aviation,8116,Amortized Discount/Premium Int,0,300119.65
2023,DSGO,General Obligation Debt Service,Office of Budget,6001,Prop.Taxs-Real Est-Current,362624420,359771597.58
2022,GNFD,General Fund,Transportation,8530,Court Cost-Child Safety/School,348000,404272.5
2023,GNFD,General Fund,Park & Recreation,7200,Chgs Serv-Tennis Tourn Ct Fee,10811,0
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,705D,Zoning Determination Letter,4116,600
2022,GNFD,General Fund,Public Works & Transporation,8420,Misc-Handling Charges,0,4
2022,GNFD,General Fund,Office Of Economic Development,7399,Public Improvement Dist Revenu,30000,45000
2022,EFOP,Enterprise Operating Fund,Convention And Event Services,781S,Chgs Serv-Street Seats,2500,1150
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,704G,Bldg Inspection board Fees-Appeals,199,600
2022,DSGO,General Obligation Debt Service,Office of Budget,8448,Bond Proceeds,0,1
2023,GNFD,General Fund,Public Works & Transporation,8427,Misc-Petty Cash Overage,0,1
2023,EFOP,Enterprise Operating Fund,Convention And Event Services,7843,Chgs Serv-Parking Conv Ctr Gar,5070,3362.22
2023,EFOP,Enterprise Operating Fund,Convention And Event Services,7815,Chgs Serv-Telephone Rental,1353166,2057605.47
2023,GNFD,General Fund,Transportation,6377,Residential Parking Stickers,3281,1790
2023,GNFD,General Fund,Park & Recreation,7264,Chgs Serv-Portable Fd&Drnk Con,29189,2000
2023,GNFD,General Fund,Court & Detention Services,8021,Witness Summons Fee,5000,1335.34
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,8104,Accrued Interest On Poold Inv,0,-107220.25
2023,INSV,Internal Service Fund,Purchasing/Bus. Diversity Dev,8100,Interest On Pooled Invest-Cash,0,34250.88
2023,EFOP,Enterprise Operating Fund,Aviation,8100,Interest On Pooled Invest-Cash,0,635147.26
2022,GNFD,General Fund,Code Compliance,7211,Chgs Serv-City Wide Over/Short,0,250
2023,GNFD,General Fund,Court & Detention Services,8530,Court Cost-Child Safety/School,150868,102541.63
2023,INSV,Internal Service Fund,Equipment & Fleet Management,9401,Intfd Rev-Fuel,22445503,5684441.01
2023,GNFD,General Fund,Code Compliance,7527,Mobile Unit & Kiosk/Coffee Cart Plan Review Fee,47918,23703
2023,GNFD,General Fund,Office of Budget,9201,Intfd Rev-Tran Fr Othr Fds-Rev,18741962,4490081
2023,GNFD,General Fund,Code Compliance,742V,Chgs Serv-Vegetation Removal-Paid Liens,5948,66823.58
2022,GNFD,General Fund,Sustainable Development and Construction,8410,Misc-Rental Othr Properties,0,4828.68
2023,DSGO,General Obligation Debt Service,Office of Budget,8104,Accrued Interest On Poold Inv,0,-119528.32
2022,GNFD,General Fund,Dallas Animal Services,7420,Animal control Fees,299467,88540.33
2022,INSV,Internal Service Fund,Communication & Info Svcs,7456,Misc for Services,2050205,1423724.97
2023,OTHO,Other Operating Fund,Risk Management,R114,Gain/Loss Sale Of Investment,0,-99.52
2023,GNFD,General Fund,Code Compliance,7490,Annual Food Inspection Permit Fee,2835779,2400344.27
2022,EFOP,Enterprise Operating Fund,Aviation,7437,Facility Maintenance Charge-Tenants,0,86830.7
2023,GNFD,General Fund,Dallas Fire Department,8428,Misc-Misc Revenue,18484,9814.75
2023,GNFD,General Fund,Transportation,8035,Fines/Red Light Cameras,0,1532071.19
2023,EFOP,Enterprise Operating Fund,Aviation,7711,Concession Revenue: Retail,4826465,2507702.49
